Abs Min Value,Sig,Non-Sig
0,119953,398978
1,237005,789181
2,227074,762658
3,219029,731340
4,210284,700870
5,200677,672422
6,192246,645923
7,183708,616573
8,175540,588140
9,167685,562927
10,160368,538190
11,153074,511749
12,145061,489779
13,137545,464364
14,130924,441363
15,124440,418119
16,117743,398084
17,111259,377773
18,105472,358851
19,99803,337483
20,93374,318824
21,88629,303147
22,83496,285531
23,78705,269519
24,73638,254323
25,69701,239712
26,65628,224435
27,61279,211376
28,57637,198396
29,53949,186062
30,50426,174717
31,46591,163943
32,43927,154020
33,41460,144016
34,38412,134709
35,35526,126332
36,33362,117135
37,31219,109022
38,28740,102091
39,26801,94977
40,25099,88973
41,23016,83327
42,21661,79138
43,19818,71744
44,18060,66795
45,16712,62027
46,15676,57382
47,14558,53268
48,13266,50010
49,12323,46781
50,11476,43767
51,10444,39697
52,9691,37462
53,8891,35155
54,8236,31862
55,7431,29392
56,6761,27633
57,6450,25533
58,5871,23489
59,5449,21729
60,4837,20038
61,4541,18738
62,4224,17285
63,3814,15808
64,3540,14491
65,3279,13727
66,3088,12392
67,2678,11507
68,2476,10741
69,2326,9772
70,2106,9218
71,1977,8332
72,1863,7754
73,1687,7005
74,1541,6740
75,1440,5949
76,1248,5783
77,1159,5605
78,1115,5053
79,1012,4344
80,972,4004
81,769,3640
82,762,3330
83,666,2960
84,596,2687
85,538,2523
86,461,2201
87,417,2062
88,396,1954
89,278,1533
90,252,1444
91,214,1252
92,204,1088
93,127,1010
94,110,808
95,65,759
96,80,638
97,52,456
98,10,294
99,26,234
100,270,2037
