Abs Min Value,Sig,Non-Sig
0,62379,456552
1,123595,902591
2,118374,871358
3,114320,836049
4,109825,801329
5,104919,768180
6,100521,737648
7,95812,704469
8,91601,672079
9,87438,643174
10,83658,614900
11,79697,585126
12,75472,559368
13,71893,530016
14,68208,504079
15,64870,477689
16,61195,454632
17,57273,431759
18,54593,409730
19,51441,385845
20,48251,363947
21,45789,345987
22,43475,325552
23,40798,307426
24,38204,289757
25,36045,273368
26,34129,255934
27,31970,240685
28,30063,225970
29,27989,212022
30,26256,198887
31,24084,186450
32,23043,174904
33,21657,163819
34,20128,152993
35,18599,143259
36,17570,132927
37,16249,123992
38,14941,115890
39,14011,107767
40,13166,100906
41,12169,94174
42,11244,89555
43,10168,81394
44,9472,75383
45,8714,70025
46,8178,64880
47,7539,60287
48,6902,56374
49,6532,52572
50,6040,49203
51,5373,44768
52,5145,42008
53,4617,39429
54,4305,35793
55,3796,33027
56,3450,30944
57,3384,28599
58,3040,26320
59,2856,24322
60,2449,22426
61,2300,20979
62,2150,19359
63,1972,17650
64,1918,16113
65,1690,15316
66,1627,13853
67,1383,12802
68,1284,11933
69,1213,10885
70,1037,10287
71,1078,9231
72,966,8651
73,857,7835
74,802,7479
75,736,6653
76,624,6407
77,582,6182
78,553,5615
79,522,4834
80,508,4468
81,400,4009
82,351,3741
83,339,3287
84,295,2988
85,249,2812
86,246,2416
87,241,2238
88,208,2142
89,149,1662
90,135,1561
91,132,1334
92,98,1194
93,66,1071
94,60,858
95,27,797
96,25,693
97,20,488
98,5,299
99,1,259
100,82,2225
