Abs Min Value,Sig,Non-Sig
0,62912,456019
1,125060,901126
2,120565,869167
3,116795,833574
4,112634,798520
5,107859,765240
6,104264,733905
7,100058,700223
8,96009,667671
9,91973,638639
10,88901,609657
11,85016,579807
12,81245,553595
13,77410,524499
14,74356,497931
15,70605,471954
16,67028,448799
17,63713,425319
18,60407,403916
19,57574,379712
20,53917,358281
21,51733,340043
22,48886,320141
23,46237,301987
24,43909,284052
25,41246,268167
26,39143,250920
27,36785,235870
28,34650,221383
29,32573,207438
30,30600,194543
31,28523,182011
32,27010,170937
33,25415,160061
34,23591,149530
35,22220,139638
36,21005,129492
37,19459,120782
38,17958,112873
39,16767,105011
40,15862,98210
41,14465,91878
42,13460,87339
43,12731,78831
44,11289,73566
45,10616,68123
46,9888,63170
47,9243,58583
48,8534,54742
49,7781,51323
50,7445,47798
51,6583,43558
52,6215,40938
53,5598,38448
54,5153,34945
55,4643,32180
56,4266,30128
57,3999,27984
58,3736,25624
59,3409,23769
60,2978,21897
61,2784,20495
62,2552,18957
63,2302,17320
64,2107,15924
65,1929,15077
66,1782,13698
67,1531,12654
68,1397,11820
69,1232,10866
70,1162,10162
71,1057,9252
72,971,8646
73,912,7780
74,830,7451
75,704,6685
76,639,6392
77,523,6241
78,517,5651
79,450,4906
80,420,4556
81,343,4066
82,308,3784
83,259,3367
84,227,3056
85,209,2852
86,184,2478
87,176,2303
88,140,2210
89,94,1717
90,88,1608
91,91,1375
92,73,1219
93,66,1071
94,45,873
95,33,791
96,23,695
97,24,484
98,7,297
99,0,260
100,83,2224
